IDP,modality,subtype,pc1_name,region,side,measurement_type,dmri_measure,t1_anatomy_group,notes,ukb_link
IDP-25352,dMRI,ICVF,PC-ICVF-TBSS-1,medial lemniscus,right,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in medial lemniscus (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25352
IDP-25353,dMRI,ICVF,PC-ICVF-TBSS-1,medial lemniscus,left,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in medial lemniscus (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25353
IDP-25354,dMRI,ICVF,PC-ICVF-TBSS-1,inferior cerebellar peduncle,right,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in inferior cerebellar peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25354
IDP-25355,dMRI,ICVF,PC-ICVF-TBSS-1,inferior cerebellar peduncle,left,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in inferior cerebellar peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25355
IDP-25356,dMRI,ICVF,PC-ICVF-TBSS-1,superior cerebellar peduncle,right,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in superior cerebellar peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25356
IDP-25357,dMRI,ICVF,PC-ICVF-TBSS-1,superior cerebellar peduncle,left,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in superior cerebellar peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25357
IDP-25358,dMRI,ICVF,PC-ICVF-TBSS-1,cerebral peduncle,right,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in cerebral peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25358
IDP-25359,dMRI,ICVF,PC-ICVF-TBSS-1,cerebral peduncle,left,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in cerebral peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25359
IDP-25360,dMRI,ICVF,PC-ICVF-TBSS-1,anterior limb of internal capsule,right,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in anterior limb of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25360
IDP-25361,dMRI,ICVF,PC-ICVF-TBSS-1,anterior limb of internal capsule,left,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in anterior limb of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25361
IDP-25362,dMRI,ICVF,PC-ICVF-TBSS-1,posterior limb of internal capsule,right,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in posterior limb of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25362
IDP-25363,dMRI,ICVF,PC-ICVF-TBSS-1,posterior limb of internal capsule,left,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in posterior limb of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25363
IDP-25364,dMRI,ICVF,PC-ICVF-TBSS-1,retrolenticular part of internal capsule,right,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in retrolenticular part of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25364
IDP-25365,dMRI,ICVF,PC-ICVF-TBSS-1,retrolenticular part of internal capsule,left,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in retrolenticular part of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25365
IDP-25366,dMRI,ICVF,PC-ICVF-TBSS-1,anterior corona radiata,right,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in anterior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25366
IDP-25367,dMRI,ICVF,PC-ICVF-TBSS-1,anterior corona radiata,left,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in anterior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25367
IDP-25368,dMRI,ICVF,PC-ICVF-TBSS-1,superior corona radiata,right,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in superior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25368
IDP-25369,dMRI,ICVF,PC-ICVF-TBSS-1,superior corona radiata,left,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in superior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25369
IDP-25370,dMRI,ICVF,PC-ICVF-TBSS-1,posterior corona radiata,right,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in posterior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25370
IDP-25371,dMRI,ICVF,PC-ICVF-TBSS-1,posterior corona radiata,left,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in posterior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25371
IDP-25372,dMRI,ICVF,PC-ICVF-TBSS-1,posterior thalamic radiation,right,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in posterior thalamic radiation (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25372
IDP-25373,dMRI,ICVF,PC-ICVF-TBSS-1,posterior thalamic radiation,left,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in posterior thalamic radiation (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25373
IDP-25374,dMRI,ICVF,PC-ICVF-TBSS-1,sagittal stratum,right,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in sagittal stratum (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25374
IDP-25375,dMRI,ICVF,PC-ICVF-TBSS-1,sagittal stratum,left,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in sagittal stratum (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25375
IDP-25376,dMRI,ICVF,PC-ICVF-TBSS-1,external capsule,right,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in external capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25376
IDP-25377,dMRI,ICVF,PC-ICVF-TBSS-1,external capsule,left,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in external capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25377
IDP-25378,dMRI,ICVF,PC-ICVF-TBSS-1,cingulum cingulate gyrus,right,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in cingulum cingulate gyrus (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25378
IDP-25379,dMRI,ICVF,PC-ICVF-TBSS-1,cingulum cingulate gyrus,left,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in cingulum cingulate gyrus (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25379
IDP-25380,dMRI,ICVF,PC-ICVF-TBSS-1,cingulum hippocampus,right,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in cingulum hippocampus (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25380
IDP-25381,dMRI,ICVF,PC-ICVF-TBSS-1,cingulum hippocampus,left,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in cingulum hippocampus (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25381
IDP-25382,dMRI,ICVF,PC-ICVF-TBSS-1,fornix cres+stria terminalis,right,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in fornix cres+stria terminalis (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25382
IDP-25383,dMRI,ICVF,PC-ICVF-TBSS-1,fornix cres+stria terminalis,left,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in fornix cres+stria terminalis (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25383
IDP-25384,dMRI,ICVF,PC-ICVF-TBSS-1,superior longitudinal fasciculus,right,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in superior longitudinal fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25384
IDP-25385,dMRI,ICVF,PC-ICVF-TBSS-1,superior longitudinal fasciculus,left,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in superior longitudinal fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25385
IDP-25386,dMRI,ICVF,PC-ICVF-TBSS-1,superior fronto-occipital fasciculus,right,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in superior fronto-occipital fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25386
IDP-25387,dMRI,ICVF,PC-ICVF-TBSS-1,superior fronto-occipital fasciculus,left,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in superior fronto-occipital fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25387
IDP-25388,dMRI,ICVF,PC-ICVF-TBSS-1,uncinate fasciculus,right,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in uncinate fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25388
IDP-25389,dMRI,ICVF,PC-ICVF-TBSS-1,uncinate fasciculus,left,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in uncinate fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25389
IDP-25390,dMRI,ICVF,PC-ICVF-TBSS-1,tapetum,right,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in tapetum (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25390
IDP-25391,dMRI,ICVF,PC-ICVF-TBSS-1,tapetum,left,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in tapetum (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25391
IDP-25392,dMRI,OD,PC-OD-TBSS-1,middle cerebellar peduncle,NA,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in middle cerebellar peduncle on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25392
IDP-25393,dMRI,OD,PC-OD-TBSS-1,pontine crossing tract,NA,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in pontine crossing tract on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25393
IDP-25394,dMRI,OD,PC-OD-TBSS-1,genu of corpus callosum,NA,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in genu of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25394
IDP-25395,dMRI,OD,PC-OD-TBSS-1,body of corpus callosum,NA,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in body of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25395
IDP-25396,dMRI,OD,PC-OD-TBSS-1,splenium of corpus callosum,NA,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in splenium of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25396
IDP-25397,dMRI,OD,PC-OD-TBSS-1,fornix,NA,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in fornix on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25397
IDP-25398,dMRI,OD,PC-OD-TBSS-1,corticospinal tract,right,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in corticospinal tract (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25398
IDP-25399,dMRI,OD,PC-OD-TBSS-1,corticospinal tract,left,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in corticospinal tract (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25399
IDP-25400,dMRI,OD,PC-OD-TBSS-1,medial lemniscus,right,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in medial lemniscus (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25400
IDP-25401,dMRI,OD,PC-OD-TBSS-1,medial lemniscus,left,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in medial lemniscus (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25401
IDP-25402,dMRI,OD,PC-OD-TBSS-1,inferior cerebellar peduncle,right,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in inferior cerebellar peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25402
IDP-25403,dMRI,OD,PC-OD-TBSS-1,inferior cerebellar peduncle,left,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in inferior cerebellar peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25403
IDP-25404,dMRI,OD,PC-OD-TBSS-1,superior cerebellar peduncle,right,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in superior cerebellar peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25404
IDP-25405,dMRI,OD,PC-OD-TBSS-1,superior cerebellar peduncle,left,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in superior cerebellar peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25405
IDP-25406,dMRI,OD,PC-OD-TBSS-1,cerebral peduncle,right,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in cerebral peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25406
IDP-25407,dMRI,OD,PC-OD-TBSS-1,cerebral peduncle,left,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in cerebral peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25407
IDP-25408,dMRI,OD,PC-OD-TBSS-1,anterior limb of internal capsule,right,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in anterior limb of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25408
IDP-25409,dMRI,OD,PC-OD-TBSS-1,anterior limb of internal capsule,left,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in anterior limb of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25409
IDP-25410,dMRI,OD,PC-OD-TBSS-1,posterior limb of internal capsule,right,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in posterior limb of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25410
IDP-25411,dMRI,OD,PC-OD-TBSS-1,posterior limb of internal capsule,left,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in posterior limb of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25411
IDP-25412,dMRI,OD,PC-OD-TBSS-1,retrolenticular part of internal capsule,right,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in retrolenticular part of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25412
IDP-25413,dMRI,OD,PC-OD-TBSS-1,retrolenticular part of internal capsule,left,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in retrolenticular part of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25413
IDP-25414,dMRI,OD,PC-OD-TBSS-1,anterior corona radiata,right,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in anterior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25414
IDP-25415,dMRI,OD,PC-OD-TBSS-1,anterior corona radiata,left,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in anterior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25415
IDP-25416,dMRI,OD,PC-OD-TBSS-1,superior corona radiata,right,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in superior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25416
IDP-25417,dMRI,OD,PC-OD-TBSS-1,superior corona radiata,left,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in superior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25417
IDP-25418,dMRI,OD,PC-OD-TBSS-1,posterior corona radiata,right,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in posterior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25418
IDP-25419,dMRI,OD,PC-OD-TBSS-1,posterior corona radiata,left,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in posterior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25419
IDP-25420,dMRI,OD,PC-OD-TBSS-1,posterior thalamic radiation,right,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in posterior thalamic radiation (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25420
IDP-25421,dMRI,OD,PC-OD-TBSS-1,posterior thalamic radiation,left,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in posterior thalamic radiation (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25421
IDP-25422,dMRI,OD,PC-OD-TBSS-1,sagittal stratum,right,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in sagittal stratum (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25422
IDP-25423,dMRI,OD,PC-OD-TBSS-1,sagittal stratum,left,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in sagittal stratum (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25423
IDP-25424,dMRI,OD,PC-OD-TBSS-1,external capsule,right,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in external capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25424
IDP-25425,dMRI,OD,PC-OD-TBSS-1,external capsule,left,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in external capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25425
IDP-25426,dMRI,OD,PC-OD-TBSS-1,cingulum cingulate gyrus,right,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in cingulum cingulate gyrus (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25426
IDP-25427,dMRI,OD,PC-OD-TBSS-1,cingulum cingulate gyrus,left,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in cingulum cingulate gyrus (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25427
IDP-25428,dMRI,OD,PC-OD-TBSS-1,cingulum hippocampus,right,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in cingulum hippocampus (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25428
IDP-25429,dMRI,OD,PC-OD-TBSS-1,cingulum hippocampus,left,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in cingulum hippocampus (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25429
IDP-25430,dMRI,OD,PC-OD-TBSS-1,fornix cres+stria terminalis,right,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in fornix cres+stria terminalis (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25430
IDP-25431,dMRI,OD,PC-OD-TBSS-1,fornix cres+stria terminalis,left,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in fornix cres+stria terminalis (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25431
IDP-25432,dMRI,OD,PC-OD-TBSS-1,superior longitudinal fasciculus,right,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in superior longitudinal fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25432
IDP-25433,dMRI,OD,PC-OD-TBSS-1,superior longitudinal fasciculus,left,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in superior longitudinal fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25433
IDP-25434,dMRI,OD,PC-OD-TBSS-1,superior fronto-occipital fasciculus,right,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in superior fronto-occipital fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25434
IDP-25435,dMRI,OD,PC-OD-TBSS-1,superior fronto-occipital fasciculus,left,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in superior fronto-occipital fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25435
IDP-25436,dMRI,OD,PC-OD-TBSS-1,uncinate fasciculus,right,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in uncinate fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25436
IDP-25437,dMRI,OD,PC-OD-TBSS-1,uncinate fasciculus,left,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in uncinate fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25437
IDP-25438,dMRI,OD,PC-OD-TBSS-1,tapetum,right,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in tapetum (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25438
IDP-25439,dMRI,OD,PC-OD-TBSS-1,tapetum,left,dMRI skeleton (TBSS-style measurement),OD,NA,Mean OD (orientation dispersion index) in tapetum (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25439
